Technical severity ▼	VRT category	Specific vulnerability name	Variant / Affected function	Actions
P1	AI Application Security	Model Extraction	API Query-Based Model Reconstruction	
P1	AI Application Security	Remote Code Execution	Full System Compromise	
P1	AI Application Security	Sensitive Information Disclosure	Cross-Tenant PII Leakage/Exposure	
P1	AI Application Security	Sensitive Information Disclosure	Key Leak	
P1	AI Application Security	Training Data Poisoning	Backdoor Injection / Bias Manipulation	
P1	Automotive Security Misconfiguration	Infotainment, Radio Head Unit	Sensitive data Leakage/Exposure	
P1	Automotive Security Misconfiguration	RF Hub	Key Fob Cloning	
P1	Broken Access Control (BAC)	Insecure Direct Object References (IDOR)	Modify/View Sensitive Information(Iterable Object Identifiers)	
P1	Broken Authentication and Session Management	Authentication Bypass		
P1	Cloud Security	Identity and Access Management (IAM) Misconfigurations	Publicly Accessible IAM Credentials	
P1	Decentralized Application Misconfiguration	Insecure Data Storage	Plaintext Private Key	
P1	Decentralized Application Misconfiguration	Marketplace Security	Orderbook Manipulation	
P1	Decentralized Application Misconfiguration	Marketplace Security	Signer Account Takeover	
P1	Decentralized Application Misconfiguration	Marketplace Security	Unauthorized Asset Transfer	
P1	Decentralized Application Misconfiguration	Protocol Security Misconfiguration	Node-level Denial of Service	
P1	Insecure OS/Firmware	Command Injection		
P1	Insecure OS/Firmware	Hardcoded Password	Privileged User	
P1	Sensitive Data Exposure	Disclosure of Secrets	For Publicly Accessible Asset	
P1	Server Security Misconfiguration	Exposed Portal	Admin Portal	
P1	Server Security Misconfiguration	Using Default Credentials		
P1	Server-Side Injection	File Inclusion	Local	
P1	Server-Side Injection	Remote Code Execution (RCE)		
P1	Server-Side Injection	SQL Injection		
P1	Server-Side Injection	XML External Entity Injection (XXE)		
P1	Smart Contract Misconfiguration	Reentrancy Attack		
P1	Smart Contract Misconfiguration	Smart Contract Owner Takeover		
P1	Smart Contract Misconfiguration	Unauthorized Transfer of Funds		
P1	Smart Contract Misconfiguration	Uninitialized Variables		
P1	Zero Knowledge Security Misconfiguration	Deanonymization of Data		
P1	Zero Knowledge Security Misconfiguration	Improper Proof Validation and Finalization Logic		
P2	AI Application Security	Denial-of-Service (DoS)	Application-Wide	
P2	AI Application Security	Prompt Injection	System Prompt Leakage	
P2	AI Application Security	Remote Code Execution	Sandboxed Container Code Execution	
P2	AI Application Security	Vector and Embedding Weaknesses	Embedding Exfiltration / Model Extraction	
P2	Application-Level Denial-of-Service (DoS)	Critical Impact and/or Easy Difficulty		
P2	Automotive Security Misconfiguration	Infotainment, Radio Head Unit	Code Execution (CAN Bus Pivot)	
P2	Automotive Security Misconfiguration	Infotainment, Radio Head Unit	OTA Firmware Manipulation	
